Hisse Kodu;Dağıtma Tarihi;Temettü Verimi (%);Hisse Başına Brüt TL;Brüt Temettü Oranı (%);Hisse Başına Net TL;Net Temettü Oranı (%)
TCELL;27102021;2.49;0.3918;39.18;33.30;861928980;20
TCELL;30072021;2.53;0.3918;39.18;33.30;861928980;20
TCELL;30042021;2.52;0.3918;39.18;33.30;861928980;20
TCELL;30112020;2.35;0.3689;36.89;31.36;811621800;25
TCELL;31102019;3.57;0.4591;45.91;39.02;1010000000;50
TCELL;17122018;2.33;0.2879;28.79;24.47;633333360;32
TCELL;17092018;2.57;0.2879;28.79;24.47;633333360;32
TCELL;18062018;2.48;0.2879;28.79;24.47;633333360;32
TCELL;15122017;2.93;0.4545;45.45;38.63;1000000000;66
TCELL;15092017;3.52;0.4545;45.45;38.63;1000000000;66
TCELL;15062017;3.78;0.4545;45.45;38.63;1000000000;66
TCELL;06042015;13.17;1.7841;178.41;151.67;3924999980;210
TCELL;17052010;4.46;0.3906;39.06;39.06;859259101;50
TCELL;18052009;6.09;0.4992;49.92;49.92;1098193226;47
TCELL;20052008;3.09;0.2949;29.49;29.49;648713951;37
TCELL;15042007;3.39;0.2577;25.77;25.77;567039784;45
TCELL;28052006;3.76;0.2745;27.45;27.45;509075181;47
TCELL;16052005;1.91;0.1696;16.96;16.96;250127565;40
TCELL;20062004;1.39;0.2363;23.63;23.63;118158605;11
TUPRS;30092025;5.67;7.4216;742.16;630.84;14300000000;71
TUPRS;28032025;5.47;7.7849;778.49;661.72;15000000000;74
TUPRS;27092024;7.02;11.9369;1193.69;1074.32;23000000000;30
TUPRS;03042024;5.90;10.3799;1037.99;934.19;20000000000;26
TUPRS;29092023;4.59;7.5254;752.54;677.29;14500000000;24
TUPRS;10032023;7.11;45.4122;4541.22;4087.10;12500000011;20
TUPRS;28032019;10.59;15.1500;1515.00;1287.75;3793850880;102
TUPRS;29032018;11.23;13.6030;1360.30;1156.26;3406452378;89
TUPRS;04042017;6.97;6.2180;621.80;528.53;1557106586;87
TUPRS;06042016;8.25;6.5000;650.00;552.50;1627724800;64
TUPRS;02042014;3.52;1.5820;158.20;134.47;396163174;33
TUPRS;04042013;7.10;3.8500;385.00;327.25;964113920;66
TUPRS;06042012;8.76;3.9326;393.26;334.27;984798546;79
TUPRS;04042011;6.46;2.9784;297.84;253.16;745848545;101
TUPRS;06042010;7.19;2.5000;250.00;214.40;626048000;77
TUPRS;01042009;13.86;2.3140;231.40;197.16;579470029;134
TUPRS;01052008;12.13;4.1850;418.50;355.73;1048004352;81
TUPRS;30052007;7.92;2.6345;263.45;223.93;659729382;80
TUPRS;30052006;7.04;1.9362;193.62;174.96;484868221;71
TUPRS;04052005;11.74;2.1245;212.45;191.21;532024358;81
TUPRS;19042004;12.06;1.4226;142.26;128.00;356259659;86
TUPRS;10042003;6.51;0.5988;59.88;57.47;149939887;86
TUPRS;04042002;7.52;0.5567;55.67;55.26;139401932;74
TUPRS;30042001;7.77;2.9130;291.30;280.30;217748323;90
TUPRS;06032000;5.74;2.4409;244.09;233.70;182462686;A/D
TUPRS;04041999;1.67;0.4426;44.26;44.26;33082036;A/D
THYAO;02092025;1.20;3.4420;344.20;292.57;4750000000;4
THYAO;16062025;1.20;3.4420;344.20;292.57;4750000000;4
THYAO;30052013;1.64;0.1444;14.44;12.27;173280000;15
THYAO;21052009;6.26;0.5669;56.69;48.19;99213754;9
GARAN;28032025;3.57;4.3893;438.93;373.09;18434998680;20
GARAN;29032024;4.36;3.1190;311.90;280.71;13099758000;15
GARAN;14042023;7.09;2.0896;208.96;188.07;8776373677;15
GARAN;25052022;2.06;0.3113;31.13;28.01;1307330640;10
GARAN;05042021;2.11;0.1485;14.85;12.62;623799960;10
GARAN;24042018;4.14;0.4167;41.67;35.42;1750014000;28
GARAN;24042017;3.10;0.2976;29.76;25.30;1250004000;25
GARAN;25042016;1.60;0.1350;13.50;11.48;567000000;17
GARAN;27042015;1.56;0.1350;13.50;11.48;567000000;15
GARAN;21042014;1.27;0.1012;10.12;8.60;425000100;13
GARAN;06052013;1.36;0.1420;14.20;12.07;596484000;19
GARAN;28052012;2.44;0.1429;14.29;12.14;600000000;20
GARAN;11042011;1.74;0.1357;13.57;11.54;570000000;18
GARAN;12042010;1.06;0.0833;8.33;7.08;350000000;12
GARAN;10092009;1.20;0.0655;6.55;5.57;275000000;16
GARAN;23042007;0.70;0.0500;5.00;4.25;105000000;10
GARAN;11042006;1.01;0.0500;5.00;4.52;105000000;14
GARAN;01041997;9.04;0.7864;78.64;78.64;14156000;A/D
ISCTR;28032025;1.46;0.1821;18.21;15.48;5162078805;11
ISCTR;01042024;2.54;0.2891;28.91;26.02;7226446328;10
ISCTR;03042023;7.12;0.9230;92.30;83.07;9230408309;15
ISCTR;29032022;3.50;0.2993;29.93;26.94;1212078829;9
ISCTR;02042021;2.96;0.1514;15.14;12.86;681082770;10
ISCTR;03042018;4.16;0.2949;29.49;25.06;1326941704;21
ISCTR;04042017;3.90;0.2612;26.12;22.20;1175280565;25
ISCTR;30032016;3.64;0.1713;17.13;14.56;770662506;25
ISCTR;01042015;2.65;0.1553;15.53;13.20;699024890;21
ISCTR;01042014;2.60;0.1233;12.33;10.48;554727052;18
ISCTR;01042013;2.12;0.1478;14.78;12.57;665259365;20
ISCTR;02042012;2.75;0.1206;12.06;10.25;542616499;20
ISCTR;01042011;3.11;0.1535;15.35;13.05;690869446;23
ISCTR;01042010;3.62;0.1789;17.89;15.21;550988911;23
ISCTR;01042009;1.60;0.0600;6.00;5.10;165393300;11
ISCTR;01042008;4.33;0.2137;21.37;18.16;588973120;35
ISCTR;01042007;2.17;0.1451;14.51;12.34;400029333;28
ISCTR;02042006;1.39;0.1558;15.58;14.05;306850219;26
ISCTR;01042005;1.62;0.1265;12.65;11.41;207600688;24
ISCTR;01042004;1.63;0.0962;9.62;8.93;137225627;32
ISCTR;27052001;1.65;0.1667;16.67;15.93;93148126;36
ISCTR;28052000;1.62;0.2840;28.40;27.00;79201000;A/D
ISCTR;23051999;4.45;0.4050;40.50;40.50;51385995;A/D
ISCTR;24051998;3.27;0.4008;40.08;40.08;20291576;A/D
ISCTR;29041997;0.91;0.4005;40.05;40.05;3992985;A/D
SISE;30052025;1.91;0.6529;65.29;55.50;2000000000;36
SISE;31052024;1.35;0.7182;71.82;64.64;2199999722;9
SISE;31052023;1.63;0.6856;68.56;61.70;2100000000;9
SISE;31052022;1.94;0.4081;40.81;36.73;1250000000;14
SISE;31052021;2.06;0.1632;16.32;13.87;500000000;23
SISE;29052020;2.81;0.1422;14.22;12.09;320000000;17
SISE;31052019;3.31;0.1778;17.78;15.11;400000000;17
SISE;31052018;3.21;0.1333;13.33;11.33;299999925;24
SISE;31052017;2.52;0.1220;12.20;10.37;250000000;34
SISE;31052016;3.62;0.1316;13.16;11.18;250000000;35
SISE;29052015;1.49;0.0529;5.29;4.50;90000000;22
SISE;30052014;1.57;0.0452;4.52;3.84;70999931;16
SISE;31052013;1.47;0.0473;4.73;4.02;70995000;A/D
SISE;31052012;1.52;0.0400;4.00;3.40;52000000;A/D
SISE;31052011;0.92;0.0400;4.00;3.40;45760000;A/D
SISE;14052007;2.99;0.1500;15.00;12.78;63525000;32
SISE;30052005;2.13;0.0720;7.20;7.20;30492000;16
SISE;29062004;2.56;0.0716;7.16;7.16;20400000;12
SISE;30051999;2.75;0.1400;14.00;14.00;3234000;A/D
SISE;31031998;2.26;0.1940;19.40;19.40;3585120;A/D
TTKOM;28042022;11.37;1.4156;141.56;127.40;4954565000;86
TTKOM;01102021;2.38;0.1783;17.83;15.16;624178100;20
TTKOM;01072021;2.69;0.1783;17.83;15.16;624178100;20
TTKOM;01042021;2.63;0.1783;17.83;15.16;624178100;20
TTKOM;28072020;2.10;0.1719;17.19;14.61;601650000;25
TTKOM;30052016;3.91;0.2402;24.02;20.42;840861000;93
TTKOM;28052015;6.90;0.5260;52.60;44.71;1840853000;92
TTKOM;28052014;4.18;0.2606;26.06;22.15;912131150;70
TTKOM;29052013;8.13;0.6895;68.95;58.61;2413279750;92
TTKOM;29052012;7.61;0.5419;54.19;46.06;1896525385;92
TTKOM;30052011;8.05;0.6411;64.11;54.50;2243960909;92
TTKOM;24052010;8.41;0.4542;45.42;38.61;1589712275;85
TTKOM;27052009;9.06;0.4258;42.58;36.19;1490156977;85
TTKOM;02062008;17.04;0.7840;78.40;66.60;2743604970;109
ULKER;19062025;7.17;8.0698;806.98;685.94;2979999983;37
ULKER;25052021;3.55;0.8088;80.88;68.75;276599990;26
ULKER;19122018;1.70;0.2573;25.73;21.87;87999986;22
ULKER;12042017;1.05;0.1871;18.71;15.91;64000000;23
ULKER;05042016;1.32;0.2749;27.49;23.36;94000000;32
ULKER;07042015;1.35;0.2749;27.49;23.36;94000000;44
ULKER;07042014;2.55;0.3889;38.89;33.06;133000004;71
ULKER;08042013;3.26;0.4386;43.86;37.28;150001200;90
ULKER;28052012;12.22;0.8187;81.87;69.59;280000000;43
ULKER;27052011;0.89;0.0517;5.17;4.39;17966878;10
ULKER;31052010;1.16;0.0403;4.03;3.42;14000000;14
ULKER;29052009;0.47;0.0112;1.12;0.95;3012377;19
ULKER;30052008;3.46;0.0906;9.06;7.70;24341241;21
ULKER;30052007;1.80;0.1002;10.02;8.51;24150000;27
ULKER;30052006;2.06;0.0871;8.71;7.84;21000000;32
ULKER;30052005;2.23;0.0838;8.38;7.54;20000000;36
ULKER;29062004;0.33;0.0182;1.82;1.75;3940963;9
ULKER;29052003;1.65;0.1000;10.00;10.00;1370250;A/D
ULKER;30052002;2.00;0.0701;7.01;6.62;960107;A/D
ULKER;01072001;1.07;0.1182;11.82;11.26;810000;A/D
ULKER;31072000;0.81;0.0949;9.49;9.49;650000;A/D
ULKER;27051999;6.67;0.5000;50.00;50.00;1370250;A/D
ULKER;28051998;5.00;1.0000;100.00;100.00;685125;A/D
ULKER;09051997;0.49;0.2256;22.56;22.56;154545;A/D
ULKER;26031997;0.37;0.1974;19.74;19.74;45092;A/D
YKBNK;03042024;4.16;1.2076;120.76;108.69;10200999547;15
YKBNK;20032023;8.32;0.9365;93.65;84.29;7910999720;15
YKBNK;13042022;2.29;0.1184;11.84;10.65;1000000000;10
YKBNK;01042021;2.69;0.0592;5.92;5.03;500000000;10
YKBNK;30032015;2.24;0.0920;9.20;7.82;400000010;19
YKBNK;02042014;2.17;0.0893;8.93;7.59;387999975;12
YKBNK;08042013;1.31;0.0690;6.90;5.87;300000000;16
