Kod;BölünmeSonrasıSermaye(TL);Tarih;BedelliOran(%);BedelliNom.Tutar(TL);Diğer(*);BedelsizIKOran(%);BedelsizTemettüOran(%);NakitTem.Brüt(%);NakitTemettü(TL);HisseBaşıBrüt(TL)
SAHOL;2100375969.18;2024-05-02;0.0;0.0;Nakit Temettü;0.0;0.0;294.3;6181406477.0;2.9429999998587206
CIMSA;945591094.0;2024-04-29;0.0;0.0;Nakit Temettü;0.0;0.0;105.75395;1000000000.0;1.0575395711161384
KCHOL;2535898050.0;2024-04-24;0.0;0.0;Nakit Temettü;0.0;0.0;800.0;20287184400.0;8.0
EREGL;3500000000.0;2024-04-16;0.0;0.0;Nakit Temettü;0.0;0.0;50.0;1750000000.0;0.5
FROTO;350910000.0;2024-04-08;0.0;0.0;Nakit Temettü;0.0;0.0;4330.0;15194403000.0;43.3
TOASO;500000000.0;2024-04-04;0.0;0.0;Nakit Temettü;0.0;0.0;2000.0;10000000000.0;20.0
TUPRS;1926795598.0;2024-04-03;0.0;0.0;Nakit Temettü;0.0;0.0;1037.99282;20000000000.0;10.379928219038831
YKBNK;8447051284.0;2024-04-03;0.0;0.0;Nakit Temettü;0.0;0.0;120.76403;10200999547.0;1.2076403000325386
ISCTR;24999970000.0;2024-04-01;0.0;0.0;Nakit Temettü;0.0;0.0;28.90582;7226446328.0;0.28905819998984
GARAN;4200000000.0;2024-03-29;0.0;0.0;Nakit Temettü;0.0;0.0;311.899;13099758000.0;3.11899
AKBNK;5200000000.0;2024-03-26;0.0;0.0;Nakit Temettü;0.0;0.0;191.75;9971000000.0;1.9175
ISCTR;24999970000.0;2024-02-27;0.0;0.0;Bedelsiz Sermaye Artırımı;149.99751;0.0;0.0;0.0;0.0
SAHOL;2100375969.18;2024-02-05;0.0;0.0;Birleşme;0.0;0.0;0.0;0.0;0.0
ENKAI;6000000000.0;2024-01-03;0.0;0.0;Nakit Temettü;0.0;0.0;50.0;3000000000.0;0.5
BIMAS;607200000.0;2023-12-20;0.0;0.0;Nakit Temettü;0.0;0.0;300.0;1821600000.0;3.0
TCELL;2200000000.0;2023-12-20;0.0;0.0;Nakit Temettü;0.0;0.0;102.72727;2260000000.0;1.0272727272727273
KRDMD;780226001.6;2023-11-28;0.0;0.0;Nakit Temettü;0.0;0.0;10.96491;85551078.0;0.10964909888232569
ASELS;4560000000.0;2023-11-22;0.0;0.0;Nakit Temettü;0.0;0.0;8.77192;400000000.0;0.08771929824561403
FROTO;350910000.0;2023-10-30;0.0;0.0;Nakit Temettü;0.0;0.0;2976.0;10443081600.0;29.76
SASA;5940176062.300003;2023-10-23;0.0;0.0;Rüçhan Hakkı Kısıtlanarak;0.0;0.0;0.0;0.0;0.0
CIMSA;945591094.0;2023-09-29;0.0;0.0;Bedelsiz Sermaye Artırımı;600.0;0.0;0.0;0.0;0.0
TUPRS;1926795598.0;2023-09-29;0.0;0.0;Nakit Temettü;0.0;0.0;752.54479;14500000000.0;7.525447958803153
AEFES;592105263.0;2023-09-18;0.0;0.0;Nakit Temettü;0.0;0.0;106.57;631006578.8;1.0657000000352976
ULKER;369275855.0;2023-09-01;0.0;0.0;Birleşme;0.0;0.0;0.0;0.0;0.0
ASELS;4560000000.0;2023-08-25;0.0;0.0;Bedelsiz Temettü;0.0;100.0;0.0;0.0;0.0
SASA;5917064414.190003;2023-08-08;0.0;0.0;Rüçhan Hakkı Kısıtlanarak;0.0;0.0;0.0;0.0;0.0
KOZAL;3202500000.0;2023-07-14;0.0;0.0;Nakit Temettü;0.0;0.0;40.0;1281000000.0;0.4
KRDMD;780226001.6;2023-06-21;0.0;0.0;Nakit Temettü;0.0;0.0;10.96491;85551078.0;0.10964909888232569
BIMAS;607200000.0;2023-06-14;0.0;0.0;Nakit Temettü;0.0;0.0;200.0;1214400000.0;2.0
SISE;3063214056.17;2023-05-31;0.0;0.0;Nakit Temettü;0.0;0.0;68.55544;2100000000.0;0.6855544410192715
MGROS;181054233.0;2023-05-30;0.0;0.0;Nakit Temettü;0.0;0.0;260.69536;472000000.0;2.606953685529131
AEFES;592105263.0;2023-05-23;0.0;0.0;Nakit Temettü;0.0;0.0;106.57;631006578.8;1.0657000000352976
SASA;5914482103.190003;2023-05-23;0.0;0.0;Bedelsiz Sermaye Artırımı;2.28445;127.71554;0.0;0.0;0.0
ASTOR;998000000.0;2023-05-02;0.0;0.0;Nakit Temettü;0.0;0.0;52.90333;527975233.0;0.5290332995991984
GARAN;4200000000.0;2023-04-14;0.0;0.0;Nakit Temettü;0.0;0.0;208.96127;8776373677.11;2.089612780264286
EKGYO;3800000000.0;2023-04-12;0.0;0.0;Nakit Temettü;0.0;0.0;23.9;908200000.0;0.239
ENKAI;6000000000.0;2023-04-12;0.0;0.0;Nakit Temettü;0.0;0.0;36.3333;2180000000.0;0.36333333333333334
TUPRS;1926795598.0;2023-04-04;0.0;0.0;Bedelsiz Sermaye Artırımı;600.0;0.0;0.0;0.0;0.0
CIMSA;135084442.0;2023-04-03;0.0;0.0;Nakit Temettü;0.0;0.0;296.11107;400000000.0;2.961110799125187
SAHOL;2040403931.0;2023-04-03;0.0;0.0;Nakit Temettü;0.0;0.0;175.0;3570706879.25;1.75
ISCTR;10000263995.12;2023-04-03;0.0;0.0;Nakit Temettü;0.0;0.0;92.30436;9230408308.692;0.9230164636849906
AKBNK;5200000000.0;2023-03-30;0.0;0.0;Nakit Temettü;0.0;0.0;173.0;8996000000.0;1.73
KCHOL;2535898050.0;2023-03-27;0.0;0.0;Nakit Temettü;0.0;0.0;173.3;4394711321.0;1.7330000001380181
TOASO;500000000.0;2023-03-21;0.0;0.0;Nakit Temettü;0.0;0.0;600.0;3000000000.0;6.0
YKBNK;8447051284.0;2023-03-20;0.0;0.0;Nakit Temettü;0.0;0.0;93.65389;7910999720.0;0.9365397999873206
FROTO;350910000.0;2023-03-13;0.0;0.0;Nakit Temettü;0.0;0.0;1425.0;5000467500.0;14.25
TUPRS;275256514.0;2023-03-10;0.0;0.0;Nakit Temettü;0.0;0.0;4541.2186;12500000011.0;45.41218599825761
KOZAL;3202500000.0;2023-02-17;0.0;0.0;Bedelsiz Sermaye Artırımı;2000.0;0.0;0.0;0.0;0.0
ASTOR;998000000.0;2023-01-11;0.0;0.0;Birincil Halka Arz;0.0;0.0;0.0;0.0;0.0
SASA;2921113521.0900035;2023-01-02;0.0;0.0;Rüçhan Hakkı Kısıtlanarak;0.0;0.0;0.0;0.0;0.0
BIMAS;607200000.0;2022-12-14;0.0;0.0;Nakit Temettü;0.0;0.0;150.0;1639440000.0;2.7
SASA;2882155400.0900035;2022-12-05;0.0;0.0;Rüçhan Hakkı Kısıtlanarak;0.0;0.0;0.0;0.0;0.0
FROTO;350910000.0;2022-11-30;0.0;0.0;Nakit Temettü;0.0;0.0;570.0;2000187000.0;5.7
KRDMD;780226001.6;2022-11-28;0.0;0.0;Nakit Temettü;0.0;0.0;43.85964;342204316.0;0.4385964006560224
ASELS;2280000000.0;2022-11-16;0.0;0.0;Nakit Temettü;0.0;0.0;20.17543;460000000.0;0.20175438596491227
SASA;2874352549.0900035;2022-11-07;0.0;0.0;Rüçhan Hakkı Kısıtlanarak;0.0;0.0;0.0;0.0;0.0
HEKTS;2530000000.0;2022-10-12;150.0;1290000000.0;Bedelli ve Bedelsiz Sermaye Artırımı;44.18604;0.0;0.0;0.0;0.0
TCELL;2200000000.0;2022-07-26;0.0;0.0;Nakit Temettü;0.0;0.0;57.17157;1257774540.0;0.5717157
KOZAL;152500000.0;2022-07-07;0.0;0.0;Nakit Temettü;0.0;0.0;17.549319999;2676271299.6;17.549319997377047
KRDMD;780226001.6;2022-06-28;0.0;0.0;Nakit Temettü;0.0;0.0;43.85964;342204316.0;0.4385964006560224
